
2018-11-21 14:45:09,161 proc_top starting

2018-11-21 14:45:19,161
   pid name                  utime  stime  pct
   918 (python)                 85      5   9%
   921 (python)                 54      8   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 38      7   5%
   914 (vidsrc:src)             19      7   3%
   890 (dataflash_logge)         6      7   1%
   903 (pixrc_udp)               2      8   1%
    24 (ipu1_task)               0      9   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               0      5   1%
   920 (python)                  5      0   1%

2018-11-22 08:44:18,142
   pid name                  utime  stime  pct
   905 (telem_down)             19     83  10%
   918 (python)                 84      7   9%
   921 (python)                 41     20   6%
  1056 (kworker/0:0)             0     51   5%
   919 (python)                 35      9   4%
   901 (python)                 39      0   4%
   914 (vidsrc:src)             19      8   3%
   890 (dataflash_logge)         6      8   1%
    24 (ipu1_task)               0      8   1%
   903 (pixrc_udp)               2      6   1%
    71 (mmcqd/0)                 0      6   1%
   920 (python)                  6      0   1%
   908 (pixrc_ser)               3      2   1%

2018-11-22 08:44:28,142
   pid name                  utime  stime  pct
   905 (telem_down)              9     93  10%
   918 (python)                 87      3   9%
   921 (python)                 48     14   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 37      7   4%
   914 (vidsrc:src)             17      9   3%
   890 (dataflash_logge)         4      9   1%
   903 (pixrc_udp)               1      8   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  5      1   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                0      5   1%

2018-11-22 08:44:38,142
   pid name                  utime  stime  pct
   905 (telem_down)              6     96  10%
   918 (python)                 81     10   9%
   921 (python)                 54      7   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 36      9   5%
   914 (vidsrc:src)             21      5   3%
   890 (dataflash_logge)         5      8   1%
   903 (pixrc_udp)               2      8   1%
    24 (ipu1_task)               0      9   1%
   908 (pixrc_ser)               0      5   1%
   920 (python)                  5      0   1%

2018-11-22 08:44:48,142
   pid name                  utime  stime  pct
   905 (telem_down)             14     89  10%
   918 (python)                 87      5   9%
   921 (python)                 54      8   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 36      8   4%
   914 (vidsrc:src)             21      5   3%
   890 (dataflash_logge)         3     10   1%
    24 (ipu1_task)               0      9   1%
   903 (pixrc_udp)               2      7   1%
    71 (mmcqd/0)                 0      6   1%
   920 (python)                  6      0   1%
   906 (telem_up)                0      5   1%

2018-11-22 08:44:58,142
   pid name                  utime  stime  pct
   905 (telem_down)             11     91  10%
   918 (python)                 87      4   9%
   921 (python)                 51     11   6%
   901 (python)                 54      0   5%
  1056 (kworker/0:0)             0     51   5%
   919 (python)                 36     10   5%
   914 (vidsrc:src)             16     11   3%
   890 (dataflash_logge)         3     10   1%
    24 (ipu1_task)               0      9   1%
   903 (pixrc_udp)               2      7   1%
   920 (python)                  5      1   1%

2018-11-22 08:45:08,142
   pid name                  utime  stime  pct
   905 (telem_down)             14     88  10%
   918 (python)                 83      7   9%
   921 (python)                 52      8   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 38      7   5%
   914 (vidsrc:src)             18      8   3%
   890 (dataflash_logge)         2     11   1%
    24 (ipu1_task)               0      9   1%
   903 (pixrc_udp)               2      7   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                1      4   1%
   920 (python)                  5      0   1%

2018-11-22 08:45:18,142
   pid name                  utime  stime  pct
   905 (telem_down)             12     90  10%
   918 (python)                 87      4   9%
   921 (python)                 46     15   6%
  1056 (kworker/0:0)             0     51   5%
   919 (python)                 34     11   5%
   914 (vidsrc:src)             23      3   3%
   890 (dataflash_logge)         4      9   1%
   903 (pixrc_udp)               2      7   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  5      1   1%

2018-11-22 08:45:28,142
   pid name                  utime  stime  pct
   905 (telem_down)             16     87  10%
   918 (python)                 86      5   9%
   921 (python)                 50     11   6%
  1056 (kworker/0:0)             0     51   5%
   919 (python)                 34     10   4%
   914 (vidsrc:src)             15     11   3%
   890 (dataflash_logge)         5      8   1%
   903 (pixrc_udp)               2      8   1%
    24 (ipu1_task)               0      9   1%
    71 (mmcqd/0)                 0      8   1%
   920 (python)                  6      1   1%
   908 (pixrc_ser)               3      2   1%
   906 (telem_up)                1      4   1%

2018-11-22 08:45:38,142
   pid name                  utime  stime  pct
   905 (telem_down)             15     88  10%
   918 (python)                 91      1   9%
   921 (python)                 49     13   6%
   901 (python)                 55      0   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 39      6   5%
   914 (vidsrc:src)             19      7   3%
   890 (dataflash_logge)         4      9   1%
   903 (pixrc_udp)               1      8   1%
    24 (ipu1_task)               0      8   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               0      5   1%
   920 (python)                  5      0   1%

2018-11-22 08:45:48,142
   pid name                  utime  stime  pct
   905 (telem_down)             14     87  10%
   918 (python)                 84      6   9%
   921 (python)                 50     12   6%
  1056 (kworker/0:0)             0     51   5%
   919 (python)                 35     10   5%
   914 (vidsrc:src)             21      5   3%
   890 (dataflash_logge)         5      9   1%
    24 (ipu1_task)               0      9   1%
   903 (pixrc_udp)               2      7   1%
   920 (python)                  5      1   1%
    71 (mmcqd/0)                 0      5   1%
   908 (pixrc_ser)               0      5   1%

